sample	pclass	type	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX
TCGA-E2-A14Z-01A-11D-A111-01	BRCA_LumA	a	11194	11000	0	7066	3797	0	10644	2180	2515	42210	4406	0	0	185	0	1768	6170	0	498	3973	0	2043	0
TCGA-E2-A14Z-01A-11D-A111-01	BRCA_LumA	d	0	0	1107	226	0	5826	57	0	1007	0	5202	443	0	441	0	0	872	15202	3119	1577	0	0	0
TCGA-AR-A0U3-01A-11D-A107-01	BRCA_LumA	a	24040	3527	2009	0	1349	1287	46	22366	6	12977	1673	243	0	0	0	0	249	0	4249	713	2791	0	0
TCGA-AR-A0U3-01A-11D-A107-01	BRCA_LumA	d	8291	13808	0	0	5	35625	3653	702	0	0	20	10	0	0	0	15	0	0	0	0	8876	141	2284
TCGA-BH-A0DX-01A-11D-A111-01	BRCA_LumA	a	8421	203	5273	0	160	20263	0	0	941	213	1036	5241	0	127	0	570	143	1543	512	0	0	0	7114
TCGA-BH-A0DX-01A-11D-A111-01	BRCA_LumA	d	25885	196	0	0	270	21713	18156	18	0	0	281	24781	0	1342	0	0	6891	0	57	0	0	0	0
TCGA-AC-A23C-01A-12D-A166-01	BRCA_LumA	a	46837	1454	563	0	41	14549	9795	0	44	88	3443	1487	0	0	0	0	5566	15716	0	3605	0	0	0
TCGA-AC-A23C-01A-12D-A166-01	BRCA_LumA	d	381	0	20876	0	146	3259	0	143	0	15	5	0	110	0	132	0	5208	12360	0	5902	0	0	0
TCGA-BH-A18J-01A-11D-A12A-01	BRCA_LumA	a	27128	560	5628	5480	0	0	0	35	752	7997	13228	490	0	1874	903	95	0	0	2930	2500	0	0	325
TCGA-BH-A18J-01A-11D-A12A-01	BRCA_LumA	d	47646	0	9094	7771	58	29	10	0	42	213	4964	0	0	10664	0	93	630	0	1788	1210	0	0	0
TCGA-A1-A0SJ-01A-11D-A087-01	BRCA_LumA	a	26795	0	0	0	187	0	0	0	0	0	8402	18150	5719	485	0	0	10398	8604	0	0	0	1994	0
TCGA-A1-A0SJ-01A-11D-A087-01	BRCA_LumA	d	19	1602	22102	0	0	0	0	0	12	43515	12	0	8	0	114	0	9267	300	0	871	0	0	6
TCGA-B6-A0RG-01A-11D-A059-01	BRCA_LumA	a	26032	0	7	594	1386	16594	18766	1142	0	0	6501	0	8176	0	0	0	0	0	0	0	0	0	19275
TCGA-B6-A0RG-01A-11D-A059-01	BRCA_LumA	d	7808	27	0	5	0	0	13	0	8042	22800	9804	29	6312	12	0	4658	0	4849	66	304	0	0	22
TCGA-E9-A1R2-01A-11D-A14F-01	BRCA_LumA	a	37	120	0	0	1123	0	0	0	0	0	0	2691	18573	0	0	0	1089	0	1193	0	8303	0	0
TCGA-E9-A1R2-01A-11D-A14F-01	BRCA_LumA	d	20028	0	21725	124	8332	38596	0	9	0	0	9	5122	20382	17	0	7721	0	0	6821	0	0	0	5413
TCGA-A8-A097-01A-11D-A036-01	BRCA_LumA	a	6851	462	17152	14134	0	1477	1605	194	0	312	1670	0	0	0	228	6253	6235	0	5001	323	0	0	3830
TCGA-A8-A097-01A-11D-A036-01	BRCA_LumA	d	21018	0	6986	0	14	15142	0	28756	0	8098	1563	0	0	0	0	6590	0	3887	0	0	5	0	10395
TCGA-AN-A0XT-01A-11D-A107-01	BRCA_LumA	a	452	0	17625	0	0	0	0	1502	0	0	3992	0	20463	0	0	0	3632	11966	1832	0	0	0	2194
TCGA-AN-A0XT-01A-11D-A107-01	BRCA_LumA	d	14576	0	21507	0	0	0	0	329	0	0	0	0	25586	23392	0	0	4007	16753	2938	0	0	0	0
TCGA-B6-A0IE-01A-11D-A036-01	BRCA_LumA	a	24231	0	0	0	0	0	0	45936	0	28398	0	0	0	37	0	0	17864	0	0	2245	0	0	18981
TCGA-B6-A0IE-01A-11D-A036-01	BRCA_LumA	d	19	56	32082	33	0	22	39	7	8	0	0	45	0	767	0	0	2678	6	0	0	25	0	6
TCGA-A2-A1FV-01A-11D-A13J-01	BRCA_LumA	a	1171	46211	272	74	140	0	0	5654	0	0	0	0	0	36	0	0	1010	0	106	0	0	0	0
TCGA-A2-A1FV-01A-11D-A13J-01	BRCA_LumA	d	370	16735	8	15940	58	36722	3302	5736	0	15716	704	0	12	25425	0	2541	155	0	0	0	0	0	0
TCGA-A1-A0SH-01A-11D-A087-01	BRCA_LumA	a	16383	0	36511	0	0	24	0	5282	0	0	0	18	0	0	0	6222	1895	0	0	0	16	0	19534
TCGA-A1-A0SH-01A-11D-A087-01	BRCA_LumA	d	13212	7859	14321	5	25971	8182	0	5	0	0	20536	0	0	0	0	0	0	0	788	0	0	7	1872
TCGA-BH-A0DI-01A-21D-A12N-01	BRCA_LumA	a	2420	0	8388	19657	0	2049	18861	24458	0	0	12711	0	0	103	655	0	0	0	0	0	0	29	0
TCGA-BH-A0DI-01A-21D-A12N-01	BRCA_LumA	d	0	0	6043	25618	9	43062	979	19997	0	0	0	0	0	0	0	0	0	0	0	58	0	0	392
TCGA-D8-A1Y0-01A-11D-A14J-01	BRCA_LumA	a	27299	425	12282	28627	1911	67	44	0	252	36	23898	63	0	0	0	10466	0	0	0	4729	960	0	178
TCGA-D8-A1Y0-01A-11D-A14J-01	BRCA_LumA	d	5263	133	37	5513	7	2662	22	0	304	10790	4259	0	0	26710	19745	163	24	0	20	3047	6	0	0
TCGA-GI-A2C8-01A-11D-A16C-01	BRCA_LumA	a	842	102	207	5245	34729	123	0	26166	0	796	9383	3422	0	0	11004	2963	6490	0	0	0	0	0	11633
TCGA-GI-A2C8-01A-11D-A16C-01	BRCA_LumA	d	0	77	0	73	0	22242	15	17008	0	7003	19589	0	341	0	4219	0	1548	0	0	0	1296	8912	4045
TCGA-BH-A1EY-01A-11D-A13J-01	BRCA_LumA	a	23080	265	2258	4208	1964	736	1391	6334	338	15660	786	3020	3626	186	0	0	0	0	778	629	2235	0	0
TCGA-BH-A1EY-01A-11D-A13J-01	BRCA_LumA	d	2684	17988	0	48078	27	677	0	2636	0	0	38528	7792	0	4947	0	149	0	0	2537	0	5978	0	0
TCGA-EW-A1PD-01A-11D-A141-01	BRCA_LumA	a	26626	0	0	23240	0	0	13073	65	0	0	0	14877	24	0	0	0	0	0	0	4457	0	0	19835
TCGA-EW-A1PD-01A-11D-A141-01	BRCA_LumA	d	24600	7221	25763	131	11195	247	7003	826	8644	0	11834	0	0	37	8428	4375	0	0	0	0	0	0	0
TCGA-D8-A1X9-01A-12D-A160-01	BRCA_LumA	a	11045	7242	194	33	26221	9548	0	6573	3570	40	581	17356	201	10956	8923	509	4749	73	4844	8990	89	0	11199
TCGA-D8-A1X9-01A-12D-A160-01	BRCA_LumA	d	4848	7811	0	2077	24220	0	0	10393	2287	11274	0	4303	0	0	0	11697	0	0	850	3485	0	0	0
TCGA-A8-A09D-01A-11D-A011-01	BRCA_LumA	a	263	3378	12183	1041	78	328	0	24270	1828	3792	3304	14893	0	13254	889	393	948	2295	0	0	13525	6489	2627
TCGA-A8-A09D-01A-11D-A011-01	BRCA_LumA	d	0	34556	38066	0	0	404	337	0	0	1846	2312	23853	0	1988	0	0	3056	0	0	0	3866	0	189
TCGA-BH-A0HB-01A-11D-A059-01	BRCA_LumA	a	26363	4809	917	923	1545	24325	4209	6	3158	3475	9212	2531	0	5703	2358	5532	6905	667	1007	1291	3546	0	0
TCGA-BH-A0HB-01A-11D-A059-01	BRCA_LumA	d	7825	10	13439	0	143	58265	0	0	0	0	17371	1864	0	0	0	13	9226	5951	0	2309	0	0	0
TCGA-BH-A0H7-01A-13D-A059-01	BRCA_LumA	a	294	63183	22249	14613	851	305	3392	2052	27	0	3543	18173	519	1069	0	247	9406	1886	3470	7751	11764	9861	0
TCGA-BH-A0H7-01A-13D-A059-01	BRCA_LumA	d	27	28763	16	12438	58	0	13	0	9386	0	13	173	0	203	0	0	102	6	0	8	45	10	0
TCGA-BH-A0BR-01A-21D-A111-01	BRCA_LumA	a	250	0	31443	1914	7922	21998	0	0	0	16	12051	86	0	9457	6465	0	0	4940	4684	0	0	0	2071
TCGA-BH-A0BR-01A-21D-A111-01	BRCA_LumA	d	0	51	20495	0	11566	19867	0	0	741	0	7044	11577	0	15357	22729	0	0	0	10436	0	876	0	3158
TCGA-E2-A1LA-01A-11D-A141-01	BRCA_LumA	a	0	0	19048	1579	0	0	0	11751	0	0	6206	0	0	0	26411	6344	1271	0	0	0	8500	0	17697
TCGA-E2-A1LA-01A-11D-A141-01	BRCA_LumA	d	29315	28	18026	0	0	46767	11	8761	0	15658	52	5698	2630	11113	0	0	0	0	0	0	0	0	0
TCGA-AO-A03V-01A-11D-A111-01	BRCA_LumA	a	1267	16615	0	10109	17371	2816	155	10182	5733	21607	14574	0	12517	0	14255	0	2361	15133	0	10217	0	216	0
TCGA-AO-A03V-01A-11D-A111-01	BRCA_LumA	d	385	4054	0	5937	3228	12	39	14388	9791	197	912	3447	658	0	20840	9749	508	8962	5307	7	0	1100	0
TCGA-AN-A0FT-01A-11D-A036-01	BRCA_LumA	a	15526	25877	906	31	0	10299	0	1471	407	0	0	0	60	14159	111	3815	7690	0	5725	8850	0	751	1038
TCGA-AN-A0FT-01A-11D-A036-01	BRCA_LumA	d	8879	32718	32434	29220	0	0	6714	9407	1856	60	0	8604	0	0	5312	0	2830	1819	10	15	0	568	17786
TCGA-AR-A0TW-01A-11D-A087-01	BRCA_LumA	a	11009	3374	7582	7	37261	16154	5707	21	176	0	0	9907	0	23617	53	417	6755	2990	0	4607	0	0	9592
TCGA-AR-A0TW-01A-11D-A087-01	BRCA_LumA	d	20024	14229	15329	7792	2006	36369	6153	0	11039	4800	472	2396	873	1626	6150	0	123	0	0	5161	0	0	348
TCGA-AQ-A04L-01B-21D-A10L-01	BRCA_LumA	a	11	811	12315	9467	102	19904	13064	1929	25080	15664	7650	16146	0	0	0	0	0	0	5136	932	0	0	0
TCGA-AQ-A04L-01B-21D-A10L-01	BRCA_LumA	d	0	0	98	0	0	52970	43177	5	2680	11729	0	0	33255	0	0	0	0	0	5109	0	0	81	0
TCGA-BH-A0B4-01A-11D-A011-01	BRCA_LumA	a	18111	10528	1638	13916	0	0	5463	0	1689	142	0	32754	0	21624	0	475	5421	0	41	0	42	0	310
TCGA-BH-A0B4-01A-11D-A011-01	BRCA_LumA	d	8512	30	16795	21554	28722	26975	23481	3071	5	13	8157	18	35639	0	0	4797	0	10353	7	0	0	0	6
TCGA-A8-A06U-01A-11D-A011-01	BRCA_LumA	a	5406	2149	35519	1884	14838	11042	18031	37920	0	2508	13910	13786	0	1029	8445	3185	3229	345	384	0	1416	0	8468
TCGA-A8-A06U-01A-11D-A011-01	BRCA_LumA	d	21580	678	0	15687	0	1580	20373	15737	10	4921	45853	29	0	28560	0	1715	179	0	0	0	9766	0	2000
TCGA-E9-A1RF-01A-11D-A160-01	BRCA_LumA	a	51473	6338	6754	0	13030	0	32072	30511	2863	0	13477	39280	20461	83	13336	0	3061	0	5900	0	0	0	7299
TCGA-E9-A1RF-01A-11D-A160-01	BRCA_LumA	d	6593	1537	515	24256	129	36544	0	14479	4107	102	15640	5	0	0	0	0	3988	0	116	0	0	0	0
TCGA-BH-A0BP-01A-11D-A111-01	BRCA_LumA	a	27762	3938	5926	10358	16850	37473	161	1939	4392	9780	2801	6453	289	0	21689	0	2515	6098	6114	0	485	0	5507
TCGA-BH-A0BP-01A-11D-A111-01	BRCA_LumA	d	29648	38321	17032	13870	1060	18562	289	116	5160	26311	22299	3041	0	71	0	129	0	14794	7431	0	0	0	9857
TCGA-D8-A1JP-01A-11D-A13J-01	BRCA_LumA	a	26796	7	43051	14030	0	24579	17768	0	0	0	0	7843	182	0	4356	0	0	0	0	1705	0	3979	0
TCGA-D8-A1JP-01A-11D-A13J-01	BRCA_LumA	d	38505	16953	114	40202	51909	5291	4891	0	12	20117	9769	6590	15477	5715	18796	3037	0	3676	398	7	0	4464	51
TCGA-AN-A0XN-01A-21D-A107-01	BRCA_LumA	a	171	69140	26919	15913	19551	17018	14609	2958	0	18529	0	1236	5917	14389	0	0	0	15394	5686	2001	255	2919	0
TCGA-AN-A0XN-01A-21D-A107-01	BRCA_LumA	d	8881	3175	14535	734	5002	8821	8235	12253	23173	32007	27713	12924	0	34	0	12882	0	6863	5002	0	4418	713	0
TCGA-A8-A096-01A-11D-A011-01	BRCA_LumB	a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A8-A096-01A-11D-A011-01	BRCA_LumB	d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AO-A0J7-01A-11D-A036-01	BRCA_LumB	a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AO-A0J7-01A-11D-A036-01	BRCA_LumB	d	0	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-E9-A249-01A-11D-A166-01	BRCA_LumB	a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-E9-A249-01A-11D-A166-01	BRCA_LumB	d	0	0	0	30	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A8-A07S-01A-11D-A036-01	BRCA_LumB	a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A8-A07S-01A-11D-A036-01	BRCA_LumB	d	5	0	0	0	0	0	9	556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-B6-A0X5-01A-21D-A107-01	BRCA_LumB	a	0	0	0	0	0	0	0	0	0	0	0	0	985	0	0	0	7	0	0	0	0	0	0
TCGA-B6-A0X5-01A-21D-A107-01	BRCA_LumB	d	0	11	0	0	0	0	8	0	16	10	8	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AR-A24N-01A-11D-A166-01	BRCA_LumB	a	7	0	0	0	0	0	0	1611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AR-A24N-01A-11D-A166-01	BRCA_LumB	d	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-GM-A2DO-01A-11D-A18N-01	BRCA_LumB	a	0	0	0	0	0	0	0	2404	0	0	1494	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-GM-A2DO-01A-11D-A18N-01	BRCA_LumB	d	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
TCGA-E2-A14O-01A-31D-A111-01	BRCA_LumB	a	0	0	0	0	0	0	0	0	0	0	3100	0	0	0	0	14	707	0	0	0	0	0	0
TCGA-E2-A14O-01A-31D-A111-01	BRCA_LumB	d	0	0	30	0	8	0	0	0	0	0	8	0	0	0	0	0	0	120	0	0	0	0	36
TCGA-A8-A095-01A-11D-A011-01	BRCA_LumB	a	5003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A8-A095-01A-11D-A011-01	BRCA_LumB	d	0	0	0	0	0	0	0	0	0	16	6	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A8-A08S-01A-11D-A036-01	BRCA_LumB	a	0	0	0	0	0	27	0	0	0	0	1861	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A8-A08S-01A-11D-A036-01	BRCA_LumB	d	0	91	0	47	0	0	0	0	5	0	0	0	0	0	0	0	3082	0	0	0	0	0	0
TCGA-A8-A092-01A-11D-A011-01	BRCA_LumB	a	0	0	0	0	0	0	0	787	0	0	0	0	0	0	0	1785	0	0	2873	0	0	0	0
TCGA-A8-A092-01A-11D-A011-01	BRCA_LumB	d	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D8-A1X6-01A-11D-A14J-01	BRCA_LumB	a	0	0	31	0	0	0	0	3346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D8-A1X6-01A-11D-A14J-01	BRCA_LumB	d	0	0	0	0	0	0	0	2134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AR-A2LK-01A-11D-A17U-01	BRCA_LumB	a	0	0	54	0	0	0	0	753	0	0	2847	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AR-A2LK-01A-11D-A17U-01	BRCA_LumB	d	0	0	0	0	0	0	0	0	0	0	4150	0	20	0	0	0	0	0	0	0	0	0	0
TCGA-BH-A0H0-01A-11D-A059-01	BRCA_LumB	a	3012	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	0	6757	0	0	0	0
TCGA-BH-A0H0-01A-11D-A059-01	BRCA_LumB	d	0	0	0	0	15	0	35	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
TCGA-D8-A1J8-01A-11D-A13J-01	BRCA_LumB	a	8575	0	0	28	0	0	0	0	0	0	0	0	707	0	0	0	0	0	0	0	0	0	0
TCGA-D8-A1J8-01A-11D-A13J-01	BRCA_LumB	d	1036	0	106	0	75	117	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0
TCGA-D8-A1JE-01A-11D-A13J-01	BRCA_LumB	a	0	0	0	0	0	0	0	0	2744	0	0	3344	5112	0	0	0	0	0	0	0	0	0	0
TCGA-D8-A1JE-01A-11D-A13J-01	BRCA_LumB	d	0	0	10	12	0	5	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-BH-A18L-01A-32D-A12A-01	BRCA_LumB	a	20	52	0	0	0	0	1079	0	0	0	8082	0	0	0	0	0	0	0	0	6	0	0	0
TCGA-BH-A18L-01A-32D-A12A-01	BRCA_LumB	d	0	2341	152	0	0	0	9	0	118	0	0	0	0	0	0	529	0	0	0	8	0	0	80
TCGA-AN-A03Y-01A-21D-A011-01	BRCA_LumB	a	969	0	0	0	0	0	0	0	0	0	4743	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AN-A03Y-01A-21D-A011-01	BRCA_LumB	d	0	0	0	0	1177	0	0	790	0	0	5180	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D8-A1Y1-01A-21D-A14J-01	BRCA_LumB	a	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D8-A1Y1-01A-21D-A14J-01	BRCA_LumB	d	0	7	0	0	0	9531	0	0	0	120	5	0	0	0	0	0	3199	0	0	0	0	0	0
TCGA-BH-A0C3-01A-21D-A12N-01	BRCA_LumB	a	8754	0	0	0	0	0	0	0	0	0	4431	0	0	0	0	1007	0	0	0	0	0	0	0
TCGA-BH-A0C3-01A-21D-A12N-01	BRCA_LumB	d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D8-A1X7-01A-11D-A14J-01	BRCA_LumB	a	13692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	513	0	0	0	0	0	0
TCGA-D8-A1X7-01A-11D-A14J-01	BRCA_LumB	d	5	73	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-B6-A1KC-01B-11D-A160-01	BRCA_LumB	a	1742	0	247	0	0	2133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
TCGA-B6-A1KC-01B-11D-A160-01	BRCA_LumB	d	14959	0	0	0	0	0	0	0	0	0	0	0	51	10	0	0	0	0	0	5	0	0	0
TCGA-E9-A22H-01A-11D-A160-01	BRCA_LumB	a	0	0	15	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	372	0	0
TCGA-E9-A22H-01A-11D-A160-01	BRCA_LumB	d	0	6	0	0	27	0	0	0	0	0	0	0	19931	0	0	0	81	0	0	0	0	0	20
TCGA-A7-A13F-01A-11D-A12N-01	BRCA_LumB	a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3503	0	0	0
TCGA-A7-A13F-01A-11D-A12N-01	BRCA_LumB	d	14258	0	0	6	0	1885	0	5	5	0	0	8	0	0	0	0	0	0	0	1036	0	0	11
TCGA-C8-A1HL-01A-11D-A134-01	BRCA_LumB	a	416	162	345	0	1195	0	222	0	0	223	835	12	0	0	0	147	12921	0	0	0	0	0	0
TCGA-C8-A1HL-01A-11D-A134-01	BRCA_LumB	d	0	1264	14	0	0	0	0	0	0	8	0	0	0	0	0	0	5558	0	0	0	0	0	0
TCGA-D8-A1JI-01A-11D-A13J-01	BRCA_LumB	a	0	0	0	0	0	2055	51	6058	5223	0	2520	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D8-A1JI-01A-11D-A13J-01	BRCA_LumB	d	0	0	0	0	0	922	0	440	3601	0	4183	0	0	5	0	0	0	0	0	0	0	0	0
TCGA-AN-A0XR-01A-11D-A107-01	BRCA_LumB	a	115	0	0	0	77	83	0	0	1185	0	0	1087	0	0	0	1694	10416	0	120	817	0	0	0
TCGA-AN-A0XR-01A-11D-A107-01	BRCA_LumB	d	0	0	0	0	0	29	7	0	5	0	0	0	0	5	0	0	11936	0	0	0	0	0	0
TCGA-BH-A0BD-01A-11D-A036-01	BRCA_LumB	a	0	0	0	0	0	0	0	0	0	0	16831	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-BH-A0BD-01A-11D-A036-01	BRCA_LumB	d	11771	6	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
TCGA-AN-A0AK-01A-21D-A011-01	BRCA_LumB	a	222	0	0	65	0	0	0	115	0	0	0	0	3158	0	0	0	0	0	0	0	0	0	757
TCGA-AN-A0AK-01A-21D-A011-01	BRCA_LumB	d	927	43	0	4220	828	93	0	0	0	24	20028	0	134	0	0	0	0	0	0	0	0	0	0
TCGA-D8-A27W-01A-11D-A16C-01	BRCA_LumB	a	0	0	0	0	0	9711	0	4489	0	0	600	0	0	0	0	0	0	0	1074	0	0	0	0
TCGA-D8-A27W-01A-11D-A16C-01	BRCA_LumB	d	0	14088	0	0	0	0	0	0	0	0	0	0	0	0	154	700	0	0	0	0	0	0	0
TCGA-E2-A10C-01A-21D-A10L-01	BRCA_LumB	a	0	0	0	0	0	14993	0	0	0	0	85	161	0	0	0	0	309	0	967	0	0	0	0
TCGA-E2-A10C-01A-21D-A10L-01	BRCA_LumB	d	0	0	0	0	57	9781	25	0	0	4708	131	270	0	0	0	0	0	0	0	0	0	0	0
TCGA-A8-A082-01A-11D-A011-01	BRCA_LumB	a	0	0	0	0	0	0	0	4697	0	0	1562	0	0	15	0	0	0	0	0	0	0	0	0
TCGA-A8-A082-01A-11D-A011-01	BRCA_LumB	d	0	16	0	0	0	20069	0	0	0	0	0	0	11	0	0	0	0	0	0	5307	0	0	0
TCGA-BH-A202-01A-11D-A14J-01	BRCA_LumB	a	0	0	186	2937	0	0	0	3187	0	0	0	0	0	0	0	0	1938	0	0	26	0	0	0
TCGA-BH-A202-01A-11D-A14J-01	BRCA_LumB	d	0	3676	0	5	0	0	0	17967	0	0	0	2848	0	0	0	0	0	0	0	0	0	0	240
TCGA-D8-A1XF-01A-11D-A14F-01	BRCA_LumB	a	246	0	0	0	0	1268	0	1122	0	0	8486	0	0	0	0	0	0	0	1216	259	4287	0	0
TCGA-D8-A1XF-01A-11D-A14F-01	BRCA_LumB	d	154	0	0	0	0	0	105	0	0	52	63	0	136	16237	0	0	0	254	0	0	0	0	0
TCGA-AO-A1KP-01A-11D-A13J-01	BRCA_LumB	a	0	0	0	0	0	0	5110	9443	0	0	23	0	0	0	0	5268	15	0	0	0	5809	0	0
TCGA-AO-A1KP-01A-11D-A13J-01	BRCA_LumB	d	6	0	0	0	6	9347	0	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0
TCGA-A8-A084-01A-21D-A011-01	BRCA_LumB	a	0	2457	3565	0	302	4783	218	0	0	3736	70	359	1167	2698	0	3321	0	0	170	27	4164	3611	2135
TCGA-A8-A084-01A-21D-A011-01	BRCA_LumB	d	0	2441	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
TCGA-E2-A15K-01A-11D-A12N-01	BRCA_LumB	a	0	0	0	0	0	0	0	1505	0	0	4334	0	0	2214	0	0	0	0	0	0	0	0	643
TCGA-E2-A15K-01A-11D-A12N-01	BRCA_LumB	d	7	0	0	18752	2030	0	0	0	0	0	6796	0	0	0	0	5	0	0	0	0	1375	0	0
TCGA-A8-A09R-01A-11D-A011-01	BRCA_LumB	a	0	0	0	0	0	0	0	3601	0	0	0	118	0	9154	0	0	0	0	0	0	0	0	0
TCGA-A8-A09R-01A-11D-A011-01	BRCA_LumB	d	0	0	11	0	0	0	136	0	0	0	0	142	0	24510	0	0	0	0	0	0	0	0	0
TCGA-D8-A1XS-01A-11D-A14J-01	BRCA_LumB	a	0	0	0	0	0	0	0	22810	0	0	4035	0	0	0	0	0	0	0	0	8651	0	0	0
TCGA-D8-A1XS-01A-11D-A14J-01	BRCA_LumB	d	0	0	0	3896	0	0	0	0	0	0	381	0	0	0	0	0	0	0	0	0	0	15	0
TCGA-E9-A1N6-01A-11D-A141-01	BRCA_LumB	a	18330	0	0	5	0	366	3534	157	0	5	0	1133	0	1617	0	0	5256	0	0	0	0	0	3210
TCGA-E9-A1N6-01A-11D-A141-01	BRCA_LumB	d	218	0	0	5	0	5	0	0	0	3628	0	5	5	0	10	0	2877	0	0	0	0	0	0
TCGA-A2-A1FX-01A-11D-A13J-01	BRCA_LumB	a	26115	0	0	0	0	0	0	0	0	0	14016	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A2-A1FX-01A-11D-A13J-01	BRCA_LumB	d	0	0	0	0	0	0	351	0	17	0	0	83	0	0	0	0	0	0	0	0	0	10	0
TCGA-BH-A0W3-01A-11D-A107-01	BRCA_LumB	a	1575	0	0	0	12	0	0	0	0	0	8644	0	0	0	0	0	20	0	0	0	0	0	0
TCGA-BH-A0W3-01A-11D-A107-01	BRCA_LumB	d	1635	0	0	0	0	0	0	31	5	0	32318	0	7	0	0	0	0	0	0	0	0	0	0
TCGA-E9-A226-01A-21D-A160-01	BRCA_LumB	a	1383	0	7087	0	0	0	0	0	0	0	0	0	0	1778	0	0	2222	0	0	9402	0	0	69
TCGA-E9-A226-01A-21D-A160-01	BRCA_LumB	d	14926	0	0	7	0	0	0	0	0	0	0	0	0	1265	0	0	6454	0	0	5	15	0	7
TCGA-AR-A24R-01A-11D-A166-01	BRCA_LumB	a	14430	0	0	0	0	0	0	0	0	0	13538	0	0	879	0	0	11770	0	0	0	0	0	0
TCGA-AR-A24R-01A-11D-A166-01	BRCA_LumB	d	0	0	0	15	7	0	0	0	2057	0	0	18	0	768	0	0	169	0	0	0	0	505	613
TCGA-B6-A0RL-01A-11D-A087-01	BRCA_LumB	a	2688	6037	0	0	0	0	0	0	0	5432	9169	0	0	0	0	0	0	747	1627	0	0	0	376
TCGA-B6-A0RL-01A-11D-A087-01	BRCA_LumB	d	4864	0	0	0	0	13	7	5	0	0	1877	0	0	0	0	0	0	4147	5637	2565	0	0	0
TCGA-AR-A0TQ-01A-11D-A087-01	BRCA_LumB	a	0	0	0	0	0	0	0	0	3616	0	0	0	0	11636	0	0	19192	0	0	0	0	0	0
TCGA-AR-A0TQ-01A-11D-A087-01	BRCA_LumB	d	0	0	0	0	0	0	0	15	11347	0	0	0	0	0	0	0	24	0	0	0	0	0	0
TCGA-D8-A1JT-01A-31D-A13J-01	BRCA_LumB	a	0	0	0	0	0	0	0	18429	0	0	0	0	0	0	0	0	481	0	0	0	0	0	0
TCGA-D8-A1JT-01A-31D-A13J-01	BRCA_LumB	d	0	0	0	0	0	26770	0	0	0	153	0	5	0	0	0	0	0	0	0	0	0	0	0
